query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0059,0.0290,0.0487,0.0059,0.0061,0.0053,4786
+Eyeglasses,0.0014,0.0027,0.0064,0.0014,0.0005,0.0006,2196
-Heavy_Makeup,0.0044,0.0215,0.0394,0.0044,0.0045,0.0041,4087
+Male,0.0025,0.0100,0.0157,0.0025,0.0020,0.0019,1595
-Young,0.0049,0.0194,0.0331,0.0049,0.0042,0.0038,5355
+Blond_Hair,0.0048,0.0159,0.0316,0.0048,0.0037,0.0039,5469
+Mustache,0.0233,0.0532,0.0664,0.0233,0.0113,0.0073,301
"+Eyeglasses, +Smiling",0.0000,0.0049,0.0082,0.0000,0.0010,0.0008,612
"+Black_Hair, -Wavy_Hair",0.0043,0.0136,0.0214,0.0043,0.0029,0.0026,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0000,0.0034,0.0120,0.0000,0.0007,0.0012,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0039,0.0134,0.0218,0.0039,0.0028,0.0024,
