query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0696,0.1759,0.2466,0.0696,0.0467,0.0381,4786
+Eyeglasses,0.0756,0.2086,0.3174,0.0756,0.0518,0.0446,2196
-Heavy_Makeup,0.0242,0.0842,0.1319,0.0242,0.0188,0.0162,4087
+Male,0.0226,0.0690,0.1179,0.0226,0.0168,0.0167,1595
-Young,0.0077,0.0245,0.0471,0.0077,0.0059,0.0060,5355
+Blond_Hair,0.0485,0.1457,0.2163,0.0485,0.0390,0.0335,5469
+Mustache,0.0831,0.2292,0.2890,0.0831,0.0591,0.0449,301
"+Eyeglasses, +Smiling",0.0278,0.1258,0.2206,0.0278,0.0278,0.0266,612
"+Black_Hair, -Wavy_Hair",0.0299,0.1198,0.1987,0.0299,0.0264,0.0244,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0068,0.0154,0.0308,0.0068,0.0031,0.0033,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0759,0.2405,0.4051,0.0759,0.0633,0.0595,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0588,0.0882,0.0000,0.0118,0.0088,34
MEAN,0.0363,0.1152,0.1777,0.0363,0.0285,0.0248,
