query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0706,0.1805,0.2553,0.0706,0.0481,0.0388,4786
+Eyeglasses,0.0301,0.0965,0.1648,0.0301,0.0236,0.0216,2196
-Heavy_Makeup,0.0242,0.0847,0.1326,0.0242,0.0189,0.0163,4087
+Male,0.0094,0.0257,0.0370,0.0094,0.0061,0.0051,1595
-Young,0.0077,0.0246,0.0471,0.0077,0.0059,0.0060,5355
+Blond_Hair,0.0316,0.1026,0.1688,0.0316,0.0271,0.0254,5469
+Mustache,0.0764,0.1728,0.2326,0.0764,0.0498,0.0382,301
"+Eyeglasses, +Smiling",0.0147,0.0572,0.0948,0.0147,0.0121,0.0113,612
"+Black_Hair, -Wavy_Hair",0.0159,0.0883,0.1512,0.0159,0.0197,0.0191,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0051,0.0120,0.0171,0.0051,0.0024,0.0019,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0127,0.0506,0.0886,0.0127,0.0101,0.0089,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0882,0.0882,0.0294,0.0176,0.0088,34
MEAN,0.0252,0.0757,0.1137,0.0252,0.0186,0.0155,
