query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0533,0.1364,0.1943,0.0533,0.0358,0.0297,4786
+Eyeglasses,0.0934,0.2550,0.3689,0.0934,0.0648,0.0546,2196
-Heavy_Makeup,0.0242,0.0847,0.1326,0.0242,0.0189,0.0163,4087
+Male,0.0251,0.0984,0.1674,0.0251,0.0239,0.0245,1595
-Young,0.0077,0.0246,0.0471,0.0077,0.0059,0.0060,5355
+Blond_Hair,0.0464,0.1490,0.2244,0.0464,0.0384,0.0339,5469
+Mustache,0.0532,0.1860,0.2525,0.0532,0.0452,0.0382,301
"+Eyeglasses, +Smiling",0.0082,0.0261,0.0458,0.0082,0.0052,0.0047,612
"+Black_Hair, -Wavy_Hair",0.0260,0.1128,0.1944,0.0260,0.0252,0.0239,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0086,0.0223,0.0360,0.0086,0.0045,0.0038,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0127,0.2911,0.4810,0.0127,0.0684,0.0595,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0276,0.1067,0.1649,0.0276,0.0259,0.0227,
