query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0201,0.0652,0.1041,0.0201,0.0157,0.0136,4786
+Eyeglasses,0.0046,0.0159,0.0305,0.0046,0.0035,0.0035,2196
-Heavy_Makeup,0.0235,0.0812,0.1277,0.0235,0.0182,0.0156,4087
+Male,0.0056,0.0119,0.0176,0.0056,0.0034,0.0028,1595
-Young,0.0075,0.0237,0.0465,0.0075,0.0056,0.0060,5355
+Blond_Hair,0.0152,0.0422,0.0642,0.0152,0.0111,0.0093,5469
+Mustache,0.0432,0.1163,0.1528,0.0432,0.0306,0.0229,301
"+Eyeglasses, +Smiling",0.0000,0.0016,0.0065,0.0000,0.0003,0.0007,612
"+Black_Hair, -Wavy_Hair",0.0051,0.0311,0.0583,0.0051,0.0070,0.0070,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0034,0.0103,0.0154,0.0034,0.0021,0.0015,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0127,0.0127,0.0000,0.0025,0.0013,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34
MEAN,0.0099,0.0317,0.0489,0.0099,0.0077,0.0065,
