query,R@1,R@5,R@10,P@1,P@5,P@10,num_sources
+Smiling,0.0311,0.1053,0.1573,0.0311,0.0259,0.0221,4786
+Eyeglasses,0.0041,0.0173,0.0342,0.0041,0.0042,0.0041,2196
-Heavy_Makeup,0.0240,0.0815,0.1294,0.0240,0.0182,0.0157,4087
+Male,0.0031,0.0132,0.0219,0.0031,0.0038,0.0034,1595
-Young,0.0073,0.0243,0.0459,0.0073,0.0057,0.0059,5355
+Blond_Hair,0.0190,0.0492,0.0761,0.0190,0.0129,0.0114,5469
+Mustache,0.0465,0.1495,0.2027,0.0465,0.0399,0.0296,301
"+Eyeglasses, +Smiling",0.0016,0.0049,0.0098,0.0016,0.0010,0.0011,612
"+Black_Hair, -Wavy_Hair",0.0097,0.0455,0.0719,0.0097,0.0107,0.0097,2572
"-Male, -Mustache",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
"+Chubby, -Young",0.0017,0.0120,0.0188,0.0017,0.0027,0.0021,584
"-Smiling, +Eyeglasses, +Wearing_Hat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79
"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",0.0294,0.0882,0.0882,0.0294,0.0176,0.0088,34
MEAN,0.0137,0.0454,0.0659,0.0137,0.0110,0.0088,
